,Class,NER
18688,EVENT,○二○六震災優先處置事項研商會議
6563,EVENT,進擊的校園全國漆彈大作戰
6607,EVENT,五二○
6614,EVENT,台南震災
1484,EVENT,小港沿海六里遷村推動小組
6630,EVENT,二○一六禪淨共修祈福法會
6798,EVENT,大同福樂學堂
6853,EVENT,全國最大漆彈賽事
6858,EVENT,全國漆彈大賽開幕典禮
6966,EVENT,土銀七十載新春樂舞墨
16797,EVENT,南投燈會
16795,EVENT,台北燈會
16781,EVENT,二○六大地震
16685,EVENT,南台灣大地震
16569,EVENT,高雄燈會
7330,EVENT,三讀會
1193,EVENT,二零一六新加坡國際食 品展
23975,EVENT,環境影響評估審查委 員會第三十三次會議
16417,EVENT,高雄燈會藝術節
24003,EVENT,六台灣國際遊艇展
17342,EVENT,龍舟競賽
24071,EVENT,馬王政爭
17358,EVENT,玫瑰花節
17409,EVENT,世大運
17979,EVENT,全國黨員代表大會
23403,EVENT,高雄區農業改良場
17884,EVENT,全運會
23451,EVENT,和家盃
23460,EVENT,二○一六全國第六十屆和家盃排球錦標賽
6222,EVENT,冠軍爭奪戰
17787,EVENT,行政院災害防救專家諮詢委員會
17775,EVENT,中央災害防救會報第三十三次會議
17738,EVENT,二 ○○九世界運動會
6268,EVENT,治安會報
17732,EVENT,二○一七世大運
6314,EVENT,宋江陣頭大賽
6369,EVENT,燕巢區社區公車永續經營公聽會
6416,EVENT,小營養午餐整合研討會
17572,EVENT,登革熱疫治會議
6453,EVENT,仁武嘉年華會
6472,EVENT,仁武學苑兒童肚皮舞
17424,EVENT,世運
1530,EVENT,五二０
17404,EVENT,全國漆彈大作戰記者會
7443,EVENT,全國兒童才藝總決賽
16050,EVENT,第二十一屆義工聯合隊慶
15983,EVENT,南台灣強震
9066,EVENT,桃園燈會
14370,EVENT,林家血案
14351,EVENT,高屏地區二二八
14348,EVENT,高雄市二二八和平紀念活動
14321,EVENT,二二八林宅血案
14308,EVENT,二二八慘案
675,EVENT,幸福家庭、兒童嘉年華會
24698,EVENT,春節送暖歲末關懷活動
14294,EVENT,二二八事件
9258,EVENT,第十一屆會員代表大會
