,Class,NER
6112,EVENT,龍潭現金案
2092,EVENT,木蘭足球聯賽
2089,EVENT,木蘭聯賽
7330,EVENT,三讀會
12984,EVENT,奧運
12989,EVENT,里約奧運
12990,EVENT,全國運動會
13005,EVENT,全國田徑錦標賽
15805,EVENT,疏伐木ＤＩＹ生活傢俱
13073,EVENT,美的總動員 －藝術家展覽會
9066,EVENT,桃園燈會
13150,EVENT,客庄十二大節慶
13160,EVENT,祭祀典禮
13173,EVENT,華開幕式
13212,EVENT,COP11蒙特婁氣候變遷大會
15619,EVENT,台北國際旅展
15612,EVENT,二○一六高雄國際旅展
10399,EVENT,高雄捷運
17424,EVENT,世運
2139,EVENT,大專足球聯賽
9258,EVENT,第十一屆會員代表大會
18984,EVENT,新住民慶元宵聯誼座談會
6966,EVENT,土銀七十載新春樂舞墨
10558,EVENT,太平洋藝術節
10541,EVENT,拉庫斯溪復興橋上游土石防治二 期工程
17572,EVENT,登革熱疫治會議
2544,EVENT,扁案
6119,EVENT,紅火案
2153,EVENT,木蘭女足聯賽
12653,EVENT,大泉淨水場暨下游輸水工程
19030,EVENT,大立百貨
12704,EVENT,九二一
2390,EVENT,台灣國際扣件展
2357,EVENT,二次世界大戰
15846,EVENT,波灣食品展
2301,EVENT,全國黨代表大會
15843,EVENT,波灣國際食品展
19020,EVENT,高雄嘉年華
17409,EVENT,世大運
17404,EVENT,全國漆彈大作戰記者會
7443,EVENT,全國兒童才藝總決賽
19377,EVENT,土壤液化及老舊建物耐震補強協商會議
7625,EVENT,莫拉克八八風災
13914,EVENT,槌球錦標賽
13992,EVENT,文化觀光公車好好玩
675,EVENT,幸福家庭、兒童嘉年華會
19467,EVENT,漢神百貨
14294,EVENT,二二八事件
19370,EVENT,臺南市○二○六震災罹難者頭七法會
14308,EVENT,二二八慘案
14348,EVENT,高雄市二二八和平紀念活動
14351,EVENT,高屏地區二二八
577,EVENT,普度法會
14370,EVENT,林家血案
19574,EVENT,七三一石化氣爆
14460,EVENT,李科永紀念圖書館
19661,EVENT,南台大地震
14321,EVENT,二二八林宅血案
8812,EVENT,西灣飆浪體驗活動
13837,EVENT,○二○六地震
13806,EVENT,祝福之舞
19159,EVENT,幸福萬人提燈大遊行
19165,EVENT,旗津踩風二日遊
17358,EVENT,玫瑰花節
1530,EVENT,五二０
1484,EVENT,小港沿海六里遷村推動小組
15480,EVENT,創新荷蘭行動展
17342,EVENT,龍舟競賽
13576,EVENT,二二八
13581,EVENT,台南大地震
13591,EVENT,八八風災
1193,EVENT,二零一六新加坡國際食 品展
5846,EVENT,大 魯閣草衙道
15407,EVENT,全國油畫比賽
15402,EVENT,美•山城馬拉松比賽
19315,EVENT,○二○六震災
1021,EVENT,美濃福安菸葉輔導站整建工程
13778,EVENT,印尼峇里島迎賓舞
16417,EVENT,高雄燈會藝術節
14526,EVENT,中華書道學會作品聯展
2903,EVENT,一○五年度南區技職博覽會
2962,EVENT,民主進步黨第十六屆第一次臨時全國黨代表大會
17775,EVENT,中央災害防救會報第三十三次會議
4745,EVENT,小澤征 爾音樂祭
6416,EVENT,小營養午餐整合研討會
4701,EVENT,全國漆彈大作戰第二波戰火
16685,EVENT,南台灣大地震
4630,EVENT,一○五年南區技職教育博覽會
9680,EVENT,國民小學運動會
10959,EVENT,國際同濟會二○一六亞太年會
6453,EVENT,仁武嘉年華會
17738,EVENT,二 ○○九世界運動會
9622,EVENT,二０一六亞太肝臟醫學研討會
17732,EVENT,二○一七世大運
11407,EVENT,高雄國際旅展
9608,EVENT,二０一五金屬科技展
4389,EVENT,第一屆海事展
16781,EVENT,二○六大地震
6472,EVENT,仁武學苑兒童肚皮舞
4366,EVENT,台灣第一屆國際海事展
10944,EVENT,二○一六國際遊艇展
4848,EVENT,樂活節
17884,EVENT,全運會
18191,EVENT,大林蒲西南瘋音樂祭
10716,EVENT,六堆運動會
10719,EVENT,第五十一屆六堆運動會
10720,EVENT,大武山下的小奧運
10749,EVENT,二Ｏ一六六堆嘉年華活動
5228,EVENT,環境議題車體廣告徵選活動
18351,EVENT,九二一震災
6314,EVENT,宋江陣頭大賽
10824,EVENT,東京奧運
4961,EVENT,那瑪夏賞螢
17787,EVENT,行政院災害防救專家諮詢委員會
18321,EVENT,家庭微旅行親子野餐創意秀
6369,EVENT,燕巢區社區公車永續經營公聽會
10898,EVENT,百座世運
4853,EVENT,你愛水 我節水 歡慶兒童節
18268,EVENT,Ｏ二Ｏ六台南震災
4363,EVENT,高雄國際海事船舶展暨國防工業展
9571,EVENT,第三屆高雄會展論壇
4355,EVENT,千里錦繡-棉紙藝術撕畫展
5547,EVENT,跟查理布朗旅行趣
12044,EVENT,東京國際食品展
12048,EVENT,德國科隆食品展
12068,EVENT,法國巴黎食品展
12134,EVENT,五年前三一一東日本大震災
18688,EVENT,○二○六震災優先處置事項研商會議
18690,EVENT,莫拉克風災
18600,EVENT,溫馨感謝卡活動
9438,EVENT,二０一七生態交通全球盛典籌備委員會
18706,EVENT,九二一地震
15983,EVENT,南台灣強震
3354,EVENT,美麗島事件
6853,EVENT,全國最大漆彈賽事
18770,EVENT,二○一六新春文化饗宴
6858,EVENT,全國漆彈大賽開幕典禮
2996,EVENT,民進黨第十六屆第一次臨時全國黨代表大會
12139,EVENT,促進日台經濟文化交流青年議員會
3607,EVENT,臨時案
18523,EVENT,祈福會
6798,EVENT,大同福樂學堂
10643,EVENT,高雄市市長盃扯鈴 暨民俗體育錦標賽
4348,EVENT,千里錦繡─棉紙藝術撕畫展
4347,EVENT,議會藝術走廊
16795,EVENT,台北燈會
4175,EVENT,亞太國際教育協會暨教育展
6563,EVENT,進擊的校園全國漆彈大作戰
16797,EVENT,南投燈會
6607,EVENT,五二○
6614,EVENT,台南震災
6630,EVENT,二○一六禪淨共修祈福法會
4007,EVENT,迎春宴
3996,EVENT,頒獎典禮
11732,EVENT,大河之舞
16050,EVENT,第二十一屆義工聯合隊慶
11850,EVENT,莫拉克
3862,EVENT,高雄環狀輕軌捷運建設第二階段統包工程
6222,EVENT,冠軍爭奪戰
9387,EVENT,東沙太陽能光電系統啟用典禮
19778,EVENT,總統大選
6268,EVENT,治安會報
20256,EVENT,海燕颱風
10115,EVENT,二０一七年生態交通全球盛典
14614,EVENT,太陽花學運
20168,EVENT,桃芝風災
6075,EVENT,新聞夜總會
455,EVENT,九州熊本強震
20095,EVENT,二０一五宗教生命關懷國際學術研討會
167,EVENT,二次大戰
20190,EVENT,雅安大地震
19857,EVENT,國際溜冰館
20015,EVENT,院會
8560,EVENT,高雄旅展
20260,EVENT,九二一大地震
6028,EVENT,第二屆族語單詞競賽活動
10056,EVENT,東京食品展
20093,EVENT,宗教心靈改革 學術研討會
414,EVENT,水門案
14608,EVENT,高雄哈客嘉年華會
20112,EVENT,高雄七三一石化氣爆
17979,EVENT,全國黨員代表大會
16569,EVENT,高雄燈會
14576,EVENT,美的總動員－藝術家展覽會
20059,EVENT,道教國際學術研討會
16540,EVENT,燈會
10109,EVENT,三一一地震
20177,EVENT,安祈福大法會
8545,EVENT,台北旅展
6885,GPE,台灣隊
2932,GPE,臺東
3265,GPE,凱達格蘭基金
9419,GPE,行政區
12389,GPE,東京市區
3347,GPE,林肯
6827,GPE,高雄市市中心
3352,GPE,加拿大
15189,GPE,水里
12153,GPE,嘉義縣長
3366,GPE,華盛頓
2920,GPE,高雄區
9409,GPE,三民
16412,GPE,宮崎縣
12297,GPE,岡山魚市
12241,GPE,高雄國
12349,GPE,農夫市
18848,GPE,舊護城
12363,GPE,阿曼
6859,GPE,美國隊
12295,GPE,岡山區岡山路
15953,GPE,東方大鎮
15003,GPE,深圳
18094,GPE,宜蘭縣頭城鎮
12148,GPE,福島
18903,GPE,三民區河堤國
228,GPE,德國
18764,GPE,前屏縣
3200,GPE,園冶
6147,GPE,埔里
2989,GPE,台南市長
6877,GPE,英國
2959,GPE,臺東縣
6866,GPE,日籍
12246,GPE,桃竹苗
8457,GPE,高雄市小港區
9432,GPE,哈瑪星社區
6795,GPE,桃市
6774,GPE,投縣埔
11917,GPE,大台北
6760,GPE,南崁
6745,GPE,苗縣
16399,GPE,波特蘭
11900,GPE,林園區林家里
3787,GPE,南台
3793,GPE,美高
6703,GPE,北投
11895,GPE,高雄苓雅 區
6696,GPE,北市北投
3823,GPE, 灣
20193,GPE,汶山
6679,GPE,桃 市南崁
11860,GPE,彩虹山宗教園區
11851,GPE,大佛位
3930,GPE,澄清湖
3933,GPE,高雄長
15026,GPE,八里無極鎮
163,GPE,泰國
11962,GPE,阿蓮區
6799,GPE,大同國
3391,GPE,巴拿馬
6044,GPE,那瑪夏區
8324,GPE,投縣
20182,GPE,大高雄
8025,GPE,台灣石化
9964,GPE,南非辛巴威
18655,GPE,蚵仔
15176,GPE,三清道德宮
3419,GPE,堪薩斯市
