,Class,NER
17732,EVENT,二○一七世大運
33108,EVENT,十大獻禮大祭典
43495,EVENT,大台南國際旅展
22535,EVENT,漯底山國際青年商會
14614,EVENT,太陽花學運
14608,EVENT,高雄哈客嘉年華會
33015,EVENT,首屆世界盃高爾夫球賽
14576,EVENT,美的總動員－藝術家展覽會
32977,EVENT,世界盃高爾夫球賽
14526,EVENT,中華書道學會作品聯展
32712,EVENT,馬雅各來臺一百五十週年紀念特展活動
32701,EVENT,馬雅各來臺一百五十 週年紀念特展
16417,EVENT,高雄燈會藝術節
22762,EVENT,聯合發放愛 心園遊會
32496,EVENT,斯德哥爾摩症候群
14460,EVENT,李科永紀念圖書館
22837,EVENT,二二八紀念音樂會
18770,EVENT,二○一六新春文化饗宴
8545,EVENT,台北旅展
8560,EVENT,高雄旅展
32072,EVENT,食安風暴
22840,EVENT,大賽英雄 台灣新生
22845,EVENT,五月風暴
32030,EVENT,清庄事件
22857,EVENT,二二八影展
16540,EVENT,燈會
16569,EVENT,高雄燈會
32019,EVENT,清 庄事件
14370,EVENT,林家血案
22864,EVENT,二二八紀念 音樂會
33183,EVENT,登革熱疫情
22902,EVENT,台灣好玩卡
43474,EVENT,國際書展和蔬食博覽會
18984,EVENT,新住民慶元宵聯誼座談會
6858,EVENT,全國漆彈大賽開幕典禮
6966,EVENT,土銀七十載新春樂舞墨
2390,EVENT,台灣國際扣件展
34398,EVENT,宗教生命關懷國際學術研討會
42524,EVENT,中國國民黨第十九屆中央委員會第三次全 體會議
2357,EVENT,二次世界大戰
42532,EVENT,中國國民黨第十九屆中央委員會第三次全體會議
34300,EVENT,三十週年慶
2301,EVENT,全國黨代表大會
34252,EVENT,高雄市都會南區原住民老 人日間關懷站結業活動
7330,EVENT,三讀會
22154,EVENT,風華再現•城市文化再生 新亮點
33821,EVENT,佛光大佛
2153,EVENT,木蘭女足聯賽
7443,EVENT,全國兒童才藝總決賽
2139,EVENT,大專足球聯賽
42798,EVENT,李長 榮大社廠復工審查會
33666,EVENT,廟週年慶
22334,EVENT,中常會
43057,EVENT,岡山聯合競選總部成立大會
33539,EVENT,一次世界大戰
2092,EVENT,木蘭足球聯賽
2089,EVENT,木蘭聯賽
33522,EVENT,美國獨立革命
7625,EVENT,莫拉克八八風災
19030,EVENT,大立百貨
19020,EVENT,高雄嘉年華
33419,EVENT,宗教與心靈改革研討會
33343,EVENT,二○一五宗教生命關懷國際學術研討會
43445,EVENT,國際書展暨蔬食博覽會
6853,EVENT,全國最大漆彈賽事
18706,EVENT,九二一地震
14351,EVENT,高屏地區二二八
30408,EVENT,二零一五 Formosa雕塑雙年展
30402,EVENT,Formosa雕塑雙年展
23229,EVENT, 一日農夫體驗趣
13837,EVENT,○二○六地震
13806,EVENT,祝福之舞
9571,EVENT,第三屆高雄會展論壇
13778,EVENT,印尼峇里島迎賓舞
9608,EVENT,二０一五金屬科技展
9622,EVENT,二０一六亞太肝臟醫學研討會
9680,EVENT,國民小學運動會
29721,EVENT,總統選舉
29588,EVENT,2016高雄愛Sharing夢時代跨年晚會
1021,EVENT,美濃福安菸葉輔導站整建工程
23327,EVENT,幸福年菜呷辦桌
18351,EVENT,九二一震災
44881,EVENT,國光石化運動
10056,EVENT,東京食品展
29085,EVENT,觀光推介會
10109,EVENT,三一一地震
10115,EVENT,二０一七年生態交通全球盛典
44964,EVENT,仁武區北屋排水整治工程
18321,EVENT,家庭微旅行親子野餐創意秀
23403,EVENT,高雄區農業改良場
28964,EVENT,茄萣地區登革熱防治工作慰勞餐會活動
23451,EVENT,和家盃
13591,EVENT,八八風災
13581,EVENT,台南大地震
10399,EVENT,高雄捷運
45089,EVENT,第十屆全國心智障礙者 親子運動大會
44425,EVENT,高雄客家文化節─田園音樂節活動
18690,EVENT,莫拉克風災
9438,EVENT,二０一七生態交通全球盛典籌備委員會
44339,EVENT,世界盃亞洲區資格賽
18688,EVENT,○二○六震災優先處置事項研商會議
8812,EVENT,西灣飆浪體驗活動
14348,EVENT,高雄市二二八和平紀念活動
16685,EVENT,南台灣大地震
22945,EVENT,歲末送暖愛心關懷活動
14321,EVENT,二二八林宅血案
14308,EVENT,二二八慘案
31784,EVENT,ＰＡＲＴＹ
1530,EVENT,五二０
14294,EVENT,二二八事件
31630,EVENT,宗教聯誼會
1484,EVENT,小港沿海六里遷村推動小組
31597,EVENT,世界宗教和平大會
31382,EVENT,相約澄清湖幸福花園音樂會
9066,EVENT,桃園燈會
18600,EVENT,溫馨感謝卡活動
16781,EVENT,二○六大地震
16795,EVENT,台北燈會
16797,EVENT,南投燈會
44167,EVENT,二讀會
9258,EVENT,第十一屆會員代表大會
18523,EVENT,祈福會
31017,EVENT,登革熱防治工作協調會
44271,EVENT,夢想天使希望工程
13992,EVENT,文化觀光公車好好玩
30696,EVENT,高雄市登革熱疫情
1193,EVENT,二零一六新加坡國際食 品展
13914,EVENT,槌球錦標賽
9387,EVENT,東沙太陽能光電系統啟用典禮
44399,EVENT,ＳＡＲＳ疫情
34669,EVENT,SARS
34685,EVENT,二０一五海峽兩岸道教經典學術研討會
21599,EVENT,寶來之美全國油畫比賽
4348,EVENT,千里錦繡─棉紙藝術撕畫展
4347,EVENT,議會藝術走廊
20177,EVENT,安祈福大法會
38658,EVENT,大阪藝術博覽會
15619,EVENT,台北國際旅展
20190,EVENT,雅安大地震
20256,EVENT,海燕颱風
4175,EVENT,亞太國際教育協會暨教育展
20260,EVENT,九二一大地震
4961,EVENT,那瑪夏賞螢
40133,EVENT,徐生明盃全國少棒錦標賽
20344,EVENT,道教嘉年華會
5228,EVENT,環境議題車體廣告徵選活動
4007,EVENT,迎春宴
3996,EVENT,頒獎典禮
20417,EVENT,70週年慶
37665,EVENT,愛老婆運動
40335,EVENT,蘇迪樂颱風
19574,EVENT,七三一石化氣爆
37477,EVENT,仁武競選總部成立大會
5547,EVENT,跟查理布朗旅行趣
