,Class,NER
24651,EVENT,春節送暖歲末 關懷活動
17409,EVENT,世大運
17424,EVENT,世運
10115,EVENT,二０一七年生態交通全球盛典
10109,EVENT,三一一地震
66181,EVENT,大樓案
10056,EVENT,東京食品展
33666,EVENT,廟週年慶
55078,EVENT,世運場館
66201,EVENT,高雄建商推案
17572,EVENT,登革熱疫治會議
7330,EVENT,三讀會
17732,EVENT,二○一七世大運
40900,EVENT,莫拉克颱風災
17738,EVENT,二 ○○九世界運動會
17775,EVENT,中央災害防救會報第三十三次會議
17404,EVENT,全國漆彈大作戰記者會
17358,EVENT,玫瑰花節
41036,EVENT,五輕
17342,EVENT,龍舟競賽
69514,EVENT,九三
58837,EVENT,高雄科工館
33343,EVENT,二○一五宗教生命關懷國際學術研討會
58844,EVENT,高雄青年挺柱後援會成立大會
24071,EVENT,馬王政爭
33419,EVENT,宗教與心靈改革研討會
24003,EVENT,六台灣國際遊艇展
33821,EVENT,佛光大佛
23975,EVENT,環境影響評估審查委 員會第三十三次會議
41270,EVENT,城市商旅高雄真愛館
33522,EVENT,美國獨立革命
41243,EVENT,吉祥物PK戰
55119,EVENT,悠郵躍動全國運動城市郵展」主題郵展
33539,EVENT,一次世界大戰
41166,EVENT,仁武後援會成立大會
52168,EVENT,屏東縣東港鎮登革熱戰役
61619,EVENT,神農盃
17787,EVENT,行政院災害防救專家諮詢委員會
23460,EVENT,二○一六全國第六十屆和家盃排球錦標賽
23451,EVENT,和家盃
9622,EVENT,二０一六亞太肝臟醫學研討會
54950,EVENT,南橫馬拉松
9608,EVENT,二０一五金屬科技展
18268,EVENT,Ｏ二Ｏ六台南震災
4366,EVENT,台灣第一屆國際海事展
40335,EVENT,蘇迪樂颱風
18321,EVENT,家庭微旅行親子野餐創意秀
59111,EVENT,世錦賽
9571,EVENT,第三屆高雄會展論壇
4363,EVENT,高雄國際海事船舶展暨國防工業展
23229,EVENT, 一日農夫體驗趣
4355,EVENT,千里錦繡-棉紙藝術撕畫展
61268,EVENT,二○一五高雄水展
61264,EVENT,台灣國際 水展
7443,EVENT,全國兒童才藝總決賽
4348,EVENT,千里錦繡─棉紙藝術撕畫展
18351,EVENT,九二一震災
6966,EVENT,土銀七十載新春樂舞墨
40436,EVENT,動物也瘋狂─二手玩具交換市集暨分享童樂會
18191,EVENT,大林蒲西南瘋音樂祭
40839,EVENT,八八水災
59065,EVENT,阿根廷世錦賽
17884,EVENT,全運會
23403,EVENT,高雄區農業改良場
52308,EVENT,國際身心障礙者日
17979,EVENT,全國黨員代表大會
61403,EVENT,二戰
40438,EVENT,動物也瘋狂─二手玩具 交換市集暨分享童樂會
59083,EVENT,高雄國際滑輪溜冰場
4389,EVENT,第一屆海事展
52456,EVENT,真愛永恆~銀髮婚頌禮讚
23327,EVENT,幸福年菜呷辦桌
52509,EVENT,台南登革熱
40496,EVENT,捍衛食安人權─搶救校園營養午餐大 作戰
52560,EVENT,誠毅紙器工業區
9680,EVENT,國民小學運動會
59102,EVENT,哥倫比亞世界運動會
58834,EVENT,國軍第四十九屆文藝金像獎得獎作品巡迴展
10399,EVENT,高雄捷運
16797,EVENT,南投燈會
58733,EVENT,大崗山國際青年商會
62173,EVENT,二○一五國際生態交通論壇
62124,EVENT,棋琴十七重奏 
10749,EVENT,二Ｏ一六六堆嘉年華活動
43057,EVENT,岡山聯合競選總部成立大會
62109,EVENT,棋琴十七重奏
1193,EVENT,二零一六新加坡國際食 品展
6798,EVENT,大同福樂學堂
4745,EVENT,小澤征 爾音樂祭
32712,EVENT,馬雅各來臺一百五十週年紀念特展活動
10720,EVENT,大武山下的小奧運
10719,EVENT,第五十一屆六堆運動會
24888,EVENT,運動健身．快樂人生－環山健行趣
42798,EVENT,李長 榮大社廠復工審查會
10716,EVENT,六堆運動會
62045,EVENT,台電大林更新案
32701,EVENT,馬雅各來臺一百五十 週年紀念特展
24698,EVENT,春節送暖歲末關懷活動
10824,EVENT,東京奧運
43474,EVENT,國際書展和蔬食博覽會
6630,EVENT,二○一六禪淨共修祈福法會
4853,EVENT,你愛水 我節水 歡慶兒童節
4848,EVENT,樂活節
32496,EVENT,斯德哥爾摩症候群
15805,EVENT,疏伐木ＤＩＹ生活傢俱
10959,EVENT,國際同濟會二○一六亞太年會
58672,EVENT,重陽節敬老活動
43445,EVENT,國際書展暨蔬食博覽會
10944,EVENT,二○一六國際遊艇展
10898,EVENT,百座世運
15843,EVENT,波灣國際食品展
69645,EVENT,二○一五南區客家美食料理比賽
15846,EVENT,波灣食品展
15983,EVENT,南台灣強震
43495,EVENT,大台南國際旅展
16050,EVENT,第二十一屆義工聯合隊慶
55541,EVENT,高雄農業故事館
4347,EVENT,議會藝術走廊
61950,EVENT,慶中秋里民聯歡會
6858,EVENT,全國漆彈大賽開幕典禮
24235,EVENT,福蝶生態藝術冬令營
24229,EVENT,福蝶 生態藝術冬令營
41827,EVENT,台糖公司土地經濟部工作小組第十六次會議
69547,EVENT,九三大閱兵
1484,EVENT,小港沿海六里遷村推動小組
24217,EVENT,趙評彩繪衣衫展
55191,EVENT,11腳競速大對決
10541,EVENT,拉庫斯溪復興橋上游土石防治二 期工程
33108,EVENT,十大獻禮大祭典
61790,EVENT,花博
69533,EVENT,施政報告
16781,EVENT,二○六大地震
1530,EVENT,五二０
69517,EVENT,蔡英文後援會成立大會
33183,EVENT,登革熱疫情
16795,EVENT,台北燈會
4630,EVENT,一○五年南區技職教育博覽會
6853,EVENT,全國最大漆彈賽事
58828,EVENT,海光美展
10558,EVENT,太平洋藝術節
42532,EVENT,中國國民黨第十九屆中央委員會第三次全體會議
42524,EVENT,中國國民黨第十九屆中央委員會第三次全 體會議
10643,EVENT,高雄市市長盃扯鈴 暨民俗體育錦標賽
32977,EVENT,世界盃高爾夫球賽
60070,EVENT,二○一五南方治水論壇
16417,EVENT,高雄燈會藝術節
4701,EVENT,全國漆彈大作戰第二波戰火
41960,EVENT,眷村文物展
24463,EVENT,台灣國際遊艇展
16569,EVENT,高雄燈會
24442,EVENT,台灣國際遊艇 展
61887,EVENT,104年特優暨資深鄰長表揚大會
33015,EVENT,首屆世界盃高爾夫球賽
58822,EVENT,海光美前天展
16685,EVENT,南台灣大地震
69553,EVENT,九三紀念抗戰
16540,EVENT,燈會
40133,EVENT,徐生明盃全國少棒錦標賽
68362,EVENT,港都壽山展
2089,EVENT,木蘭聯賽
35510,EVENT,五里後援會造勢大會
20190,EVENT,雅安大地震
20256,EVENT,海燕颱風
20260,EVENT,九二一大地震
2903,EVENT,一○五年度南區技職博覽會
8560,EVENT,高雄旅展
37665,EVENT,愛老婆運動
20177,EVENT,安祈福大法會
53643,EVENT,臺灣海洋產學策進會
35630,EVENT,高雄區原住民大 專青年心靈成長交流會
37477,EVENT,仁武競選總部成立大會
20344,EVENT,道教嘉年華會
69018,EVENT,漂亮寶貝
2962,EVENT,民主進步黨第十六屆第一次臨時全國黨代表大會
54340,EVENT,半屏湖濕地生態地景藝術揭幕儀式
2996,EVENT,民進黨第十六屆第一次臨時全國黨代表大會
8545,EVENT,台北旅展
37430,EVENT,灣利里與喬佑後援會成立大會
20168,EVENT,桃芝風災
67179,EVENT,月世界活動
19467,EVENT,漢神百貨
19574,EVENT,七三一石化氣爆
35277,EVENT,RUN 氣球路跑
19661,EVENT,南台大地震
8812,EVENT,西灣飆浪體驗活動
19778,EVENT,總統大選
19857,EVENT,國際溜冰館
20112,EVENT,高雄七三一石化氣爆
59747,EVENT,南高屏三縣市南方治水論壇
20059,EVENT,道教國際學術研討會
35452,EVENT,第九屆第二次會員大會
22154,EVENT,風華再現•城市文化再生 新亮點
20093,EVENT,宗教心靈改革 學術研討會
3862,EVENT,高雄環狀輕軌捷運建設第二階段統包工程
20095,EVENT,二０一五宗教生命關懷國際學術研討會
59804,EVENT,市政會議
20015,EVENT,院會
2544,EVENT,扁案
37420,EVENT,美濃地區戲院風華系列座談
54327,EVENT,第九屆立法委員選舉
21599,EVENT,寶來之美全國油畫比賽
36742,EVENT,反賄選陣線聯盟
68729,EVENT,十一國參賽
21593,EVENT,立院民進 黨黨團會議
36705,EVENT,小鎮老戲院的新生命
21048,EVENT,星光歡迎會
60282,EVENT,日月光案
36846,EVENT,軍宅案
3354,EVENT,美麗島事件
54030,EVENT,全國運動會開幕典禮
21061,EVENT,南橫馬拉松賽
60266,EVENT,日月光污染案
21088,EVENT,馬拉松路跑
36326,EVENT,第十週年校慶
21266,EVENT,美術北三路住宅大樓新建工程
21272,EVENT,春節花卉展
21059,EVENT,南橫馬拉松活動
20417,EVENT,70週年慶
36856,EVENT,全國中小學科學展覽會
60473,EVENT,二審
35747,EVENT,二零二六亞運
53821,EVENT,台北世界大學運動會
54203,EVENT,台客舞決賽
3607,EVENT,臨時案
37295,EVENT,大鵬灣
37288,EVENT,高雄國際馬拉松
59922,EVENT,杜鵑颱風
36195,EVENT,捍衛食安人權-搶救校園營養午餐大作戰
53841,EVENT,二 ○○九年世界運動會
67002,EVENT,蓮潭湖畔觀光旅館開發案
60769,EVENT,台電潛盾工程
60746,EVENT,大林~高港三四五ＫＶ線潛盾工程
66911,EVENT,中秋老人Ｋ歌大賽暨餐會
20790,EVENT,蘇迪勒颱風
53994,EVENT,二○○九世運
20838,EVENT,世界運動大會
37166,EVENT,高雄世運會
1021,EVENT,美濃福安菸葉輔導站整建工程
19377,EVENT,土壤液化及老舊建物耐震補強協商會議
35208,EVENT,二0一五 OPEN！RUN 氣球路跑
59415,EVENT,全運會羽球賽
54846,EVENT,兒童寫生繪畫比賽活動
39849,EVENT,國際身心障礙者日主軸活動
22864,EVENT,二二八紀念 音樂會
39803,EVENT,當代藝術特展
22857,EVENT,二二八影展
22845,EVENT,五月風暴
22902,EVENT,台灣好玩卡
22840,EVENT,大賽英雄 台灣新生
34669,EVENT,SARS
39775,EVENT,屏東四重溪溫泉季
39766,EVENT,四重溪溫泉季活動
39764,EVENT,暖冬高屏溫泉之旅
67360,EVENT,雙港論壇
18984,EVENT,新住民慶元宵聯誼座談會
34685,EVENT,二０一五海峽兩岸道教經典學術研討會
9258,EVENT,第十一屆會員代表大會
22837,EVENT,二二八紀念音樂會
2153,EVENT,木蘭女足聯賽
61093,EVENT,琅嶠鷹 季－滿州賞鷹博覽會
2092,EVENT,木蘭足球聯賽
34252,EVENT,高雄市都會南區原住民老 人日間關懷站結業活動
18523,EVENT,祈福會
18600,EVENT,溫馨感謝卡活動
9438,EVENT,二０一七生態交通全球盛典籌備委員會
34300,EVENT,三十週年慶
69366,EVENT,佛齋僧護國祈福大法會
4175,EVENT,亞太國際教育協會暨教育展
69348,EVENT,高雄綠豆椪烘焙大賽
18690,EVENT,莫拉克風災
18706,EVENT,九二一地震
9387,EVENT,東沙太陽能光電系統啟用典禮
34398,EVENT,宗教生命關懷國際學術研討會
18770,EVENT,二○一六新春文化饗宴
2139,EVENT,大專足球聯賽
22945,EVENT,歲末送暖愛心關懷活動
18688,EVENT,○二○六震災優先處置事項研商會議
38658,EVENT,大阪藝術博覽會
2301,EVENT,全國黨代表大會
39726,EVENT,高美館
39074,EVENT,高雄鐵路地 下化之整體規劃與未來發展
54609,EVENT,國際女子棒球邀請賽
4007,EVENT,迎春宴
3996,EVENT,頒獎典禮
35062,EVENT,高雄藝術博覽會
22535,EVENT,漯底山國際青年商會
35119,EVENT,美濃中庄景觀橋暨湧泉生活空間營造 落成啟用典禮
19165,EVENT,旗津踩風二日遊
66609,EVENT,蘇迪勒」颱風
59649,EVENT,全國油畫比賽行銷記者會
7625,EVENT,莫拉克八八風災
19315,EVENT,○二○六震災
69205,EVENT,台北國際食品展
22334,EVENT,中常會
19370,EVENT,臺南市○二○六震災罹難者頭七法會
38687,EVENT,博覽會
68448,EVENT,高雄市攝影學會會員作品聯展
22762,EVENT,聯合發放愛 心園遊會
53115,EVENT,金牌
39201,EVENT,南橫馬拉松路跑活動
69299,EVENT,後備軍人運 動大會暨國軍人才招募活動
39719,EVENT,愛 第九屆二零一五、一六傳統與實驗書藝雙年展
19020,EVENT,高雄嘉年華
19030,EVENT,大立百貨
