,Class,NER
8545,EVENT,台北旅展
13778,EVENT,印尼峇里島迎賓舞
2903,EVENT,一○五年度南區技職博覽會
2962,EVENT,民主進步黨第十六屆第一次臨時全國黨代表大會
2996,EVENT,民進黨第十六屆第一次臨時全國黨代表大會
13591,EVENT,八八風災
41960,EVENT,眷村文物展
13806,EVENT,祝福之舞
13581,EVENT,台南大地震
41827,EVENT,台糖公司土地經濟部工作小組第十六次會議
3354,EVENT,美麗島事件
41270,EVENT,城市商旅高雄真愛館
23975,EVENT,環境影響評估審查委 員會第三十三次會議
41243,EVENT,吉祥物PK戰
24003,EVENT,六台灣國際遊艇展
13576,EVENT,二二八
24071,EVENT,馬王政爭
13837,EVENT,○二○六地震
23460,EVENT,二○一六全國第六十屆和家盃排球錦標賽
14351,EVENT,高屏地區二二八
14348,EVENT,高雄市二二八和平紀念活動
42798,EVENT,李長 榮大社廠復工審查會
23229,EVENT, 一日農夫體驗趣
14321,EVENT,二二八林宅血案
14308,EVENT,二二八慘案
13914,EVENT,槌球錦標賽
14294,EVENT,二二八事件
2544,EVENT,扁案
42532,EVENT,中國國民黨第十九屆中央委員會第三次全體會議
23403,EVENT,高雄區農業改良場
42524,EVENT,中國國民黨第十九屆中央委員會第三次全 體會議
23451,EVENT,和家盃
13992,EVENT,文化觀光公車好好玩
23327,EVENT,幸福年菜呷辦桌
14370,EVENT,林家血案
41166,EVENT,仁武後援會成立大會
13173,EVENT,華開幕式
4007,EVENT,迎春宴
33183,EVENT,登革熱疫情
40496,EVENT,捍衛食安人權─搶救校園營養午餐大 作戰
24651,EVENT,春節送暖歲末 關懷活動
40438,EVENT,動物也瘋狂─二手玩具 交換市集暨分享童樂會
40436,EVENT,動物也瘋狂─二手玩具交換市集暨分享童樂會
3996,EVENT,頒獎典禮
4175,EVENT,亞太國際教育協會暨教育展
24698,EVENT,春節送暖歲末關懷活動
12704,EVENT,九二一
4347,EVENT,議會藝術走廊
4348,EVENT,千里錦繡─棉紙藝術撕畫展
24888,EVENT,運動健身．快樂人生－環山健行趣
4355,EVENT,千里錦繡-棉紙藝術撕畫展
40335,EVENT,蘇迪樂颱風
13212,EVENT,COP11蒙特婁氣候變遷大會
24463,EVENT,台灣國際遊艇展
40839,EVENT,八八水災
13160,EVENT,祭祀典禮
13150,EVENT,客庄十二大節慶
3607,EVENT,臨時案
41036,EVENT,五輕
24217,EVENT,趙評彩繪衣衫展
24229,EVENT,福蝶 生態藝術冬令營
24442,EVENT,台灣國際遊艇 展
13073,EVENT,美的總動員 －藝術家展覽會
3862,EVENT,高雄環狀輕軌捷運建設第二階段統包工程
40900,EVENT,莫拉克颱風災
13005,EVENT,全國田徑錦標賽
12990,EVENT,全國運動會
12989,EVENT,里約奧運
12984,EVENT,奧運
24235,EVENT,福蝶生態藝術冬令營
2390,EVENT,台灣國際扣件展
43057,EVENT,岡山聯合競選總部成立大會
2357,EVENT,二次世界大戰
1193,EVENT,二零一六新加坡國際食 品展
20177,EVENT,安祈福大法會
20190,EVENT,雅安大地震
20256,EVENT,海燕颱風
15407,EVENT,全國油畫比賽
15402,EVENT,美•山城馬拉松比賽
20168,EVENT,桃芝風災
20260,EVENT,九二一大地震
44425,EVENT,高雄客家文化節─田園音樂節活動
20417,EVENT,70週年慶
44399,EVENT,ＳＡＲＳ疫情
44339,EVENT,世界盃亞洲區資格賽
1484,EVENT,小港沿海六里遷村推動小組
1530,EVENT,五二０
20344,EVENT,道教嘉年華會
44271,EVENT,夢想天使希望工程
15480,EVENT,創新荷蘭行動展
44881,EVENT,國光石化運動
19778,EVENT,總統大選
15846,EVENT,波灣食品展
15843,EVENT,波灣國際食品展
19857,EVENT,國際溜冰館
15805,EVENT,疏伐木ＤＩＹ生活傢俱
45089,EVENT,第十屆全國心智障礙者 親子運動大會
20112,EVENT,高雄七三一石化氣爆
1021,EVENT,美濃福安菸葉輔導站整建工程
20059,EVENT,道教國際學術研討會
44964,EVENT,仁武區北屋排水整治工程
15619,EVENT,台北國際旅展
15612,EVENT,二○一六高雄國際旅展
20093,EVENT,宗教心靈改革 學術研討會
20095,EVENT,二０一五宗教生命關懷國際學術研討會
20015,EVENT,院會
20790,EVENT,蘇迪勒颱風
20838,EVENT,世界運動大會
44167,EVENT,二讀會
22837,EVENT,二二八紀念音樂會
14614,EVENT,太陽花學運
22840,EVENT,大賽英雄 台灣新生
2153,EVENT,木蘭女足聯賽
14608,EVENT,高雄哈客嘉年華會
22845,EVENT,五月風暴
2139,EVENT,大專足球聯賽
22857,EVENT,二二八影展
22864,EVENT,二二八紀念 音樂會
22902,EVENT,台灣好玩卡
22945,EVENT,歲末送暖愛心關懷活動
2301,EVENT,全國黨代表大會
14526,EVENT,中華書道學會作品聯展
14460,EVENT,李科永紀念圖書館
14576,EVENT,美的總動員－藝術家展覽會
22762,EVENT,聯合發放愛 心園遊會
43445,EVENT,國際書展暨蔬食博覽會
43474,EVENT,國際書展和蔬食博覽會
21048,EVENT,星光歡迎會
21059,EVENT,南橫馬拉松活動
21061,EVENT,南橫馬拉松賽
21088,EVENT,馬拉松路跑
21266,EVENT,美術北三路住宅大樓新建工程
21272,EVENT,春節花卉展
21593,EVENT,立院民進 黨黨團會議
21599,EVENT,寶來之美全國油畫比賽
22154,EVENT,風華再現•城市文化再生 新亮點
22334,EVENT,中常會
22535,EVENT,漯底山國際青年商會
2089,EVENT,木蘭聯賽
2092,EVENT,木蘭足球聯賽
43495,EVENT,大台南國際旅展
22666,EVENT,全國教育局長會議
4363,EVENT,高雄國際海事船舶展暨國防工業展
4366,EVENT,台灣第一屆國際海事展
40133,EVENT,徐生明盃全國少棒錦標賽
4389,EVENT,第一屆海事展
35452,EVENT,第九屆第二次會員大會
6630,EVENT,二○一六禪淨共修祈福法會
35277,EVENT,RUN 氣球路跑
6798,EVENT,大同福樂學堂
30402,EVENT,Formosa雕塑雙年展
35208,EVENT,二0一五 OPEN！RUN 氣球路跑
6614,EVENT,台南震災
30408,EVENT,二零一五 Formosa雕塑雙年展
6853,EVENT,全國最大漆彈賽事
9680,EVENT,國民小學運動會
6858,EVENT,全國漆彈大賽開幕典禮
35062,EVENT,高雄藝術博覽會
9622,EVENT,二０一六亞太肝臟醫學研討會
9608,EVENT,二０一五金屬科技展
35119,EVENT,美濃中庄景觀橋暨湧泉生活空間營造 落成啟用典禮
30696,EVENT,高雄市登革熱疫情
6607,EVENT,五二○
6563,EVENT,進擊的校園全國漆彈大作戰
36326,EVENT,第十週年校慶
6314,EVENT,宋江陣頭大賽
6369,EVENT,燕巢區社區公車永續經營公聽會
36195,EVENT,捍衛食安人權-搶救校園營養午餐大作戰
6416,EVENT,小營養午餐整合研討會
6453,EVENT,仁武嘉年華會
35510,EVENT,五里後援會造勢大會
29588,EVENT,2016高雄愛Sharing夢時代跨年晚會
10115,EVENT,二０一七年生態交通全球盛典
29721,EVENT,總統選舉
35747,EVENT,二零二六亞運
10109,EVENT,三一一地震
10056,EVENT,東京食品展
35630,EVENT,高雄區原住民大 專青年心靈成長交流會
6472,EVENT,仁武學苑兒童肚皮舞
9571,EVENT,第三屆高雄會展論壇
31017,EVENT,登革熱防治工作協調會
34915,EVENT,曹公新圳水系活化親水改造工程
33821,EVENT,佛光大佛
8812,EVENT,西灣飆浪體驗活動
32496,EVENT,斯德哥爾摩症候群
7625,EVENT,莫拉克八八風災
33666,EVENT,廟週年慶
33539,EVENT,一次世界大戰
32072,EVENT,食安風暴
33522,EVENT,美國獨立革命
32701,EVENT,馬雅各來臺一百五十 週年紀念特展
32712,EVENT,馬雅各來臺一百五十週年紀念特展活動
33419,EVENT,宗教與心靈改革研討會
32977,EVENT,世界盃高爾夫球賽
33015,EVENT,首屆世界盃高爾夫球賽
33343,EVENT,二○一五宗教生命關懷國際學術研討會
8560,EVENT,高雄旅展
32030,EVENT,清庄事件
32019,EVENT,清 庄事件
9066,EVENT,桃園燈會
9438,EVENT,二０一七生態交通全球盛典籌備委員會
6966,EVENT,土銀七十載新春樂舞墨
9387,EVENT,東沙太陽能光電系統啟用典禮
34685,EVENT,二０一五海峽兩岸道教經典學術研討會
34669,EVENT,SARS
31382,EVENT,相約澄清湖幸福花園音樂會
31597,EVENT,世界宗教和平大會
7330,EVENT,三讀會
31630,EVENT,宗教聯誼會
9258,EVENT,第十一屆會員代表大會
34398,EVENT,宗教生命關懷國際學術研討會
34300,EVENT,三十週年慶
31784,EVENT,ＰＡＲＴＹ
34252,EVENT,高雄市都會南區原住民老 人日間關懷站結業活動
7443,EVENT,全國兒童才藝總決賽
6268,EVENT,治安會報
19661,EVENT,南台大地震
6222,EVENT,冠軍爭奪戰
36742,EVENT,反賄選陣線聯盟
12068,EVENT,法國巴黎食品展
4848,EVENT,樂活節
4853,EVENT,你愛水 我節水 歡慶兒童節
12048,EVENT,德國科隆食品展
12044,EVENT,東京國際食品展
39255,EVENT,遷廠後周邊地區總體開發
26589,EVENT,百工百業領袖後援會
26718,EVENT,三一八太陽花學運
39074,EVENT,高雄鐵路地 下化之整體規劃與未來發展
4961,EVENT,那瑪夏賞螢
11850,EVENT,莫拉克
11732,EVENT,大河之舞
38687,EVENT,博覽會
5228,EVENT,環境議題車體廣告徵選活動
39201,EVENT,南橫馬拉松路跑活動
38658,EVENT,大阪藝術博覽會
12134,EVENT,五年前三一一東日本大震災
4745,EVENT,小澤征 爾音樂祭
12653,EVENT,大泉淨水場暨下游輸水工程
25625,EVENT,立委選戰
25679,EVENT,三一八學運
39849,EVENT,國際身心障礙者日主軸活動
39803,EVENT,當代藝術特展
4630,EVENT,一○五年南區技職教育博覽會
