,Class,NER
13914,EVENT,槌球錦標賽
10959,EVENT,國際同濟會二○一六亞太年會
16417,EVENT,高雄燈會藝術節
6075,EVENT,新聞夜總會
15407,EVENT,全國油畫比賽
13073,EVENT,美的總動員 －藝術家展覽會
17979,EVENT,全國黨員代表大會
10944,EVENT,二○一六國際遊艇展
19159,EVENT,幸福萬人提燈大遊行
3862,EVENT,高雄環狀輕軌捷運建設第二階段統包工程
19165,EVENT,旗津踩風二日遊
21593,EVENT,立院民進 黨黨團會議
6028,EVENT,第二屆族語單詞競賽活動
20015,EVENT,院會
16540,EVENT,燈會
16569,EVENT,高雄燈會
8560,EVENT,高雄旅展
22535,EVENT,漯底山國際青年商會
8545,EVENT,台北旅展
13005,EVENT,全國田徑錦標賽
6268,EVENT,治安會報
6222,EVENT,冠軍爭奪戰
1021,EVENT,美濃福安菸葉輔導站整建工程
23327,EVENT,幸福年菜呷辦桌
20095,EVENT,二０一五宗教生命關懷國際學術研討會
24003,EVENT,六台灣國際遊艇展
20093,EVENT,宗教心靈改革 學術研討會
13150,EVENT,客庄十二大節慶
24071,EVENT,馬王政爭
23229,EVENT, 一日農夫體驗趣
12984,EVENT,奧運
12989,EVENT,里約奧運
12990,EVENT,全國運動會
3607,EVENT,臨時案
6119,EVENT,紅火案
6112,EVENT,龍潭現金案
21599,EVENT,寶來之美全國油畫比賽
20838,EVENT,世界運動大會
10898,EVENT,百座世運
8812,EVENT,西灣飆浪體驗活動
4175,EVENT,亞太國際教育協會暨教育展
24229,EVENT,福蝶 生態藝術冬令營
19315,EVENT,○二○六震災
24235,EVENT,福蝶生態藝術冬令營
14614,EVENT,太陽花學運
10643,EVENT,高雄市市長盃扯鈴 暨民俗體育錦標賽
14608,EVENT,高雄哈客嘉年華會
9258,EVENT,第十一屆會員代表大會
17884,EVENT,全運會
14576,EVENT,美的總動員－藝術家展覽會
4347,EVENT,議會藝術走廊
4348,EVENT,千里錦繡─棉紙藝術撕畫展
4355,EVENT,千里錦繡-棉紙藝術撕畫展
4363,EVENT,高雄國際海事船舶展暨國防工業展
24442,EVENT,台灣國際遊艇 展
24217,EVENT,趙評彩繪衣衫展
19778,EVENT,總統大選
9066,EVENT,桃園燈會
10716,EVENT,六堆運動會
13173,EVENT,華開幕式
675,EVENT,幸福家庭、兒童嘉年華會
10824,EVENT,東京奧運
16685,EVENT,南台灣大地震
3996,EVENT,頒獎典禮
4007,EVENT,迎春宴
13212,EVENT,COP11蒙特婁氣候變遷大會
13160,EVENT,祭祀典禮
16781,EVENT,二○六大地震
16797,EVENT,南投燈會
10749,EVENT,二Ｏ一六六堆嘉年華活動
19857,EVENT,國際溜冰館
5846,EVENT,大 魯閣草衙道
577,EVENT,普度法會
10720,EVENT,大武山下的小奧運
10719,EVENT,第五十一屆六堆運動會
16795,EVENT,台北燈會
4366,EVENT,台灣第一屆國際海事展
3354,EVENT,美麗島事件
6314,EVENT,宋江陣頭大賽
15805,EVENT,疏伐木ＤＩＹ生活傢俱
2301,EVENT,全國黨代表大會
20417,EVENT,70週年慶
6858,EVENT,全國漆彈大賽開幕典禮
15843,EVENT,波灣國際食品展
6853,EVENT,全國最大漆彈賽事
2357,EVENT,二次世界大戰
15846,EVENT,波灣食品展
2390,EVENT,台灣國際扣件展
11850,EVENT,莫拉克
6798,EVENT,大同福樂學堂
11732,EVENT,大河之舞
7625,EVENT,莫拉克八八風災
18523,EVENT,祈福會
18600,EVENT,溫馨感謝卡活動
7443,EVENT,全國兒童才藝總決賽
6966,EVENT,土銀七十載新春樂舞墨
18268,EVENT,Ｏ二Ｏ六台南震災
2153,EVENT,木蘭女足聯賽
20344,EVENT,道教嘉年華會
7330,EVENT,三讀會
22154,EVENT,風華再現•城市文化再生 新亮點
18321,EVENT,家庭微旅行親子野餐創意秀
2089,EVENT,木蘭聯賽
2092,EVENT,木蘭足球聯賽
12139,EVENT,促進日台經濟文化交流青年議員會
6630,EVENT,二○一六禪淨共修祈福法會
15480,EVENT,創新荷蘭行動展
18351,EVENT,九二一震災
12068,EVENT,法國巴黎食品展
15612,EVENT,二○一六高雄國際旅展
15619,EVENT,台北國際旅展
12048,EVENT,德國科隆食品展
12044,EVENT,東京國際食品展
2139,EVENT,大專足球聯賽
12134,EVENT,五年前三一一東日本大震災
20790,EVENT,蘇迪勒颱風
1530,EVENT,五二０
6607,EVENT,五二○
20168,EVENT,桃芝風災
6416,EVENT,小營養午餐整合研討會
2962,EVENT,民主進步黨第十六屆第一次臨時全國黨代表大會
2996,EVENT,民進黨第十六屆第一次臨時全國黨代表大會
18984,EVENT,新住民慶元宵聯誼座談會
1193,EVENT,二零一六新加坡國際食 品展
6369,EVENT,燕巢區社區公車永續經營公聽會
23460,EVENT,二○一六全國第六十屆和家盃排球錦標賽
11407,EVENT,高雄國際旅展
23451,EVENT,和家盃
19020,EVENT,高雄嘉年華
19030,EVENT,大立百貨
20112,EVENT,高雄七三一石化氣爆
23975,EVENT,環境影響評估審查委 員會第三十三次會議
23403,EVENT,高雄區農業改良場
20177,EVENT,安祈福大法會
20190,EVENT,雅安大地震
2903,EVENT,一○五年度南區技職博覽會
6453,EVENT,仁武嘉年華會
20260,EVENT,九二一大地震
18688,EVENT,○二○六震災優先處置事項研商會議
2544,EVENT,扁案
18690,EVENT,莫拉克風災
1484,EVENT,小港沿海六里遷村推動小組
6563,EVENT,進擊的校園全國漆彈大作戰
15983,EVENT,南台灣強震
6614,EVENT,台南震災
18706,EVENT,九二一地震
12653,EVENT,大泉淨水場暨下游輸水工程
20256,EVENT,海燕颱風
12704,EVENT,九二一
18770,EVENT,二○一六新春文化饗宴
16050,EVENT,第二十一屆義工聯合隊慶
6472,EVENT,仁武學苑兒童肚皮舞
18191,EVENT,大林蒲西南瘋音樂祭
22334,EVENT,中常會
455,EVENT,九州熊本強震
20059,EVENT,道教國際學術研討會
15402,EVENT,美•山城馬拉松比賽
21059,EVENT,南橫馬拉松活動
4961,EVENT,那瑪夏賞螢
9438,EVENT,二０一七生態交通全球盛典籌備委員會
14321,EVENT,二二八林宅血案
14460,EVENT,李科永紀念圖書館
17732,EVENT,二○一七世大運
17404,EVENT,全國漆彈大作戰記者會
17409,EVENT,世大運
17424,EVENT,世運
4745,EVENT,小澤征 爾音樂祭
22845,EVENT,五月風暴
14370,EVENT,林家血案
10115,EVENT,二０一七年生態交通全球盛典
