,Class,NER
10944,EVENT,二○一六國際遊艇展
577,EVENT,普度法會
10109,EVENT,三一一地震
17409,EVENT,世大運
10115,EVENT,二０一七年生態交通全球盛典
30402,EVENT,Formosa雕塑雙年展
14526,EVENT,中華書道學會作品聯展
10056,EVENT,東京食品展
17424,EVENT,世運
24888,EVENT,運動健身．快樂人生－環山健行趣
14460,EVENT,李科永紀念圖書館
5228,EVENT,環境議題車體廣告徵選活動
32019,EVENT,清 庄事件
32030,EVENT,清庄事件
10898,EVENT,百座世運
11732,EVENT,大河之舞
6222,EVENT,冠軍爭奪戰
15612,EVENT,二○一六高雄國際旅展
17404,EVENT,全國漆彈大作戰記者會
28229,EVENT,典範教師公開授課暨入班觀課
19165,EVENT,旗津踩風二日遊
6075,EVENT,新聞夜總會
17358,EVENT,玫瑰花節
15983,EVENT,南台灣強震
6112,EVENT,龍潭現金案
3862,EVENT,高雄環狀輕軌捷運建設第二階段統包工程
6119,EVENT,紅火案
18191,EVENT,大林蒲西南瘋音樂祭
30408,EVENT,二零一五 Formosa雕塑雙年展
2089,EVENT,木蘭聯賽
9571,EVENT,第三屆高雄會展論壇
14576,EVENT,美的總動員－藝術家展覽會
2092,EVENT,木蘭足球聯賽
10959,EVENT,國際同濟會二○一六亞太年會
19159,EVENT,幸福萬人提燈大遊行
16050,EVENT,第二十一屆義工聯合隊慶
12653,EVENT,大泉淨水場暨下游輸水工程
27989,EVENT,世運會
24003,EVENT,六台灣國際遊艇展
6314,EVENT,宋江陣頭大賽
32496,EVENT,斯德哥爾摩症候群
2153,EVENT,木蘭女足聯賽
7625,EVENT,莫拉克八八風災
14294,EVENT,二二八事件
16797,EVENT,南投燈會
455,EVENT,九州熊本強震
19467,EVENT,漢神百貨
23975,EVENT,環境影響評估審查委 員會第三十三次會議
12048,EVENT,德國科隆食品展
1193,EVENT,二零一六新加坡國際食 品展
19574,EVENT,七三一石化氣爆
16795,EVENT,台北燈會
19315,EVENT,○二○六震災
14308,EVENT,二二八慘案
14348,EVENT,高雄市二二八和平紀念活動
32072,EVENT,食安風暴
19370,EVENT,臺南市○二○六震災罹難者頭七法會
23229,EVENT, 一日農夫體驗趣
11407,EVENT,高雄國際旅展
6268,EVENT,治安會報
3607,EVENT,臨時案
14321,EVENT,二二八林宅血案
21599,EVENT,寶來之美全國油畫比賽
21593,EVENT,立院民進 黨黨團會議
19377,EVENT,土壤液化及老舊建物耐震補強協商會議
14370,EVENT,林家血案
24071,EVENT,馬王政爭
12704,EVENT,九二一
14351,EVENT,高屏地區二二八
2139,EVENT,大專足球聯賽
