,Class,NER
35119,EVENT,美濃中庄景觀橋暨湧泉生活空間營造 落成啟用典禮
22902,EVENT,台灣好玩卡
3607,EVENT,臨時案
22945,EVENT,歲末送暖愛心關懷活動
11850,EVENT,莫拉克
3862,EVENT,高雄環狀輕軌捷運建設第二階段統包工程
48195,EVENT,臺灣主場最終戰記者會
48194,EVENT,二○一八世足資格賽
28678,EVENT,醫界大聯盟後援會成立大會
48193,EVENT,世界盃足球賽比賽
48154,EVENT,世足賽會外賽
34669,EVENT,SARS
11732,EVENT,大河之舞
34685,EVENT,二０一五海峽兩岸道教經典學術研討會
48001,EVENT,二○一五亞洲人才創新論壇
18351,EVENT,九二一震災
3996,EVENT,頒獎典禮
48170,EVENT,世界盃亞洲區會
4007,EVENT,迎春宴
22864,EVENT,二二八紀念 音樂會
22845,EVENT,五月風暴
18523,EVENT,祈福會
12139,EVENT,促進日台經濟文化交流青年議員會
49048,EVENT,伊甸基金會
34398,EVENT,宗教生命關懷國際學術研討會
48990,EVENT,三民區疫情
12134,EVENT,五年前三一一東日本大震災
12068,EVENT,法國巴黎食品展
22857,EVENT,二二八影展
12048,EVENT,德國科隆食品展
3354,EVENT,美麗島事件
22666,EVENT,全國教育局長會議
22762,EVENT,聯合發放愛 心園遊會
48793,EVENT,大洋洲錦標賽
48787,EVENT,馬拉松錦標賽
22837,EVENT,二二八紀念音樂會
22840,EVENT,大賽英雄 台灣新生
12044,EVENT,東京國際食品展
34300,EVENT,三十週年慶
47873,EVENT,台灣民主變兒戲
34915,EVENT,曹公新圳水系活化親水改造工程
28229,EVENT,典範教師公開授課暨入班觀課
35452,EVENT,第九屆第二次會員大會
4630,EVENT,一○五年南區技職教育博覽會
35510,EVENT,五里後援會造勢大會
35630,EVENT,高雄區原住民大 專青年心靈成長交流會
4701,EVENT,全國漆彈大作戰第二波戰火
23327,EVENT,幸福年菜呷辦桌
11407,EVENT,高雄國際旅展
23403,EVENT,高雄區農業改良場
46512,EVENT,馬習會
46496,EVENT,本元里後援會成立大會
4745,EVENT,小澤征 爾音樂祭
35747,EVENT,二零二六亞運
23451,EVENT,和家盃
23460,EVENT,二○一六全國第六十屆和家盃排球錦標賽
4848,EVENT,樂活節
17979,EVENT,全國黨員代表大會
18321,EVENT,家庭微旅行親子野餐創意秀
47029,EVENT,高雄客家 文化節─客家有囍婚禮
35208,EVENT,二0一五 OPEN！RUN 氣球路跑
28419,EVENT,台灣高雄市長盃全國美容美髮造型技術競賽大會
28410,EVENT,高雄市長盃全國美容美髮造型技術競賽
18268,EVENT,Ｏ二Ｏ六台南震災
4175,EVENT,亞太國際教育協會暨教育展
47689,EVENT,世界運動會
47673,EVENT,世界競速溜冰錦標賽
18191,EVENT,大林蒲西南瘋音樂祭
35277,EVENT,RUN 氣球路跑
35062,EVENT,高雄藝術博覽會
4348,EVENT,千里錦繡─棉紙藝術撕畫展
4355,EVENT,千里錦繡-棉紙藝術撕畫展
4363,EVENT,高雄國際海事船舶展暨國防工業展
4366,EVENT,台灣第一屆國際海事展
4389,EVENT,第一屆海事展
47401,EVENT,高雄國際 食品展
23229,EVENT, 一日農夫體驗趣
4347,EVENT,議會藝術走廊
4853,EVENT,你愛水 我節水 歡慶兒童節
18600,EVENT,溫馨感謝卡活動
34252,EVENT,高雄市都會南區原住民老 人日間關懷站結業活動
1530,EVENT,五二０
13073,EVENT,美的總動員 －藝術家展覽會
29721,EVENT,總統選舉
19165,EVENT,旗津踩風二日遊
13005,EVENT,全國田徑錦標賽
19159,EVENT,幸福萬人提燈大遊行
33343,EVENT,二○一五宗教生命關懷國際學術研討會
1484,EVENT,小港沿海六里遷村推動小組
12990,EVENT,全國運動會
12984,EVENT,奧運
29588,EVENT,2016高雄愛Sharing夢時代跨年晚會
51264,EVENT,世界特殊奧運會閉幕典禮
51256,EVENT,柏林國際電影節
51247,EVENT,春晚
51246,EVENT,兩岸文化藝術饗宴
33419,EVENT,宗教與心靈改革研討會
12989,EVENT,里約奧運
51080,EVENT,亞太盃國際纜繩滑水錦標賽
33183,EVENT,登革熱疫情
19315,EVENT,○二○六震災
52509,EVENT,台南登革熱
52456,EVENT,真愛永恆~銀髮婚頌禮讚
19467,EVENT,漢神百貨
21593,EVENT,立院民進 黨黨團會議
21599,EVENT,寶來之美全國油畫比賽
32977,EVENT,世界盃高爾夫球賽
52308,EVENT,國際身心障礙者日
33108,EVENT,十大獻禮大祭典
1193,EVENT,二零一六新加坡國際食 品展
52168,EVENT,屏東縣東港鎮登革熱戰役
13212,EVENT,COP11蒙特婁氣候變遷大會
19377,EVENT,土壤液化及老舊建物耐震補強協商會議
13173,EVENT,華開幕式
19370,EVENT,臺南市○二○六震災罹難者頭七法會
13160,EVENT,祭祀典禮
13150,EVENT,客庄十二大節慶
33015,EVENT,首屆世界盃高爾夫球賽
22535,EVENT,漯底山國際青年商會
22154,EVENT,風華再現•城市文化再生 新亮點
19020,EVENT,高雄嘉年華
12653,EVENT,大泉淨水場暨下游輸水工程
29085,EVENT,觀光推介會
33821,EVENT,佛光大佛
18770,EVENT,二○一六新春文化饗宴
2544,EVENT,扁案
28964,EVENT,茄萣地區登革熱防治工作慰勞餐會活動
49622,EVENT,社子島開發案
2390,EVENT,台灣國際扣件展
49351,EVENT,五甲關帝廟
49347,EVENT,寶玉里後援會成立大會
18706,EVENT,九二一地震
18690,EVENT,莫拉克風災
18688,EVENT,○二○六震災優先處置事項研商會議
49253,EVENT,60週年慶
2962,EVENT,民主進步黨第十六屆第一次臨時全國黨代表大會
2996,EVENT,民進黨第十六屆第一次臨時全國黨代表大會
2903,EVENT,一○五年度南區技職博覽會
19030,EVENT,大立百貨
33666,EVENT,廟週年慶
12704,EVENT,九二一
33522,EVENT,美國獨立革命
2089,EVENT,木蘭聯賽
2092,EVENT,木蘭足球聯賽
33539,EVENT,一次世界大戰
22334,EVENT,中常會
2139,EVENT,大專足球聯賽
50395,EVENT,莫拉克颱風
2357,EVENT,二次世界大戰
2153,EVENT,木蘭女足聯賽
50382,EVENT,阿里關平埔祭典
50370,EVENT,頂荖濃平埔祭典
50367,EVENT,小林平埔夜祭
50366,EVENT,平埔祭典
18984,EVENT,新住民慶元宵聯誼座談會
2301,EVENT,全國黨代表大會
50349,EVENT,潭子底及石螺潭排水檢討案
50388,EVENT,平埔夜祭活動
52560,EVENT,誠毅紙器工業區
46146,EVENT,黃色小鴨展
17884,EVENT,全運會
15612,EVENT,二○一六高雄國際旅展
15619,EVENT,台北國際旅展
42798,EVENT,李長 榮大社廠復工審查會
16569,EVENT,高雄燈會
16540,EVENT,燈會
9438,EVENT,二０一七生態交通全球盛典籌備委員會
42532,EVENT,中國國民黨第十九屆中央委員會第三次全體會議
6966,EVENT,土銀七十載新春樂舞墨
42524,EVENT,中國國民黨第十九屆中央委員會第三次全 體會議
7330,EVENT,三讀會
9387,EVENT,東沙太陽能光電系統啟用典禮
38687,EVENT,博覽會
24651,EVENT,春節送暖歲末 關懷活動
15805,EVENT,疏伐木ＤＩＹ生活傢俱
16417,EVENT,高雄燈會藝術節
26718,EVENT,三一八太陽花學運
38658,EVENT,大阪藝術博覽會
7443,EVENT,全國兒童才藝總決賽
16685,EVENT,南台灣大地震
43057,EVENT,岡山聯合競選總部成立大會
43495,EVENT,大台南國際旅展
15480,EVENT,創新荷蘭行動展
6630,EVENT,二○一六禪淨共修祈福法會
43474,EVENT,國際書展和蔬食博覽會
6798,EVENT,大同福樂學堂
43445,EVENT,國際書展暨蔬食博覽會
9680,EVENT,國民小學運動會
9571,EVENT,第三屆高雄會展論壇
9622,EVENT,二０一六亞太肝臟醫學研討會
9608,EVENT,二０一五金屬科技展
16797,EVENT,南投燈會
6853,EVENT,全國最大漆彈賽事
16795,EVENT,台北燈會
6858,EVENT,全國漆彈大賽開幕典禮
16781,EVENT,二○六大地震
24463,EVENT,台灣國際遊艇展
24442,EVENT,台灣國際遊艇 展
6614,EVENT,台南震災
41960,EVENT,眷村文物展
24698,EVENT,春節送暖歲末關懷活動
40438,EVENT,動物也瘋狂─二手玩具 交換市集暨分享童樂會
40436,EVENT,動物也瘋狂─二手玩具交換市集暨分享童樂會
39719,EVENT,愛 第九屆二零一五、一六傳統與實驗書藝雙年展
40335,EVENT,蘇迪樂颱風
25837,EVENT,全國總動員
26331,EVENT,彌陀國中校 舍新建工程
39726,EVENT,高美館
40496,EVENT,捍衛食安人權─搶救校園營養午餐大 作戰
40133,EVENT,徐生明盃全國少棒錦標賽
8545,EVENT,台北旅展
8560,EVENT,高雄旅展
39766,EVENT,四重溪溫泉季活動
39775,EVENT,屏東四重溪溫泉季
8812,EVENT,西灣飆浪體驗活動
39803,EVENT,當代藝術特展
39849,EVENT,國際身心障礙者日主軸活動
39764,EVENT,暖冬高屏溫泉之旅
41827,EVENT,台糖公司土地經濟部工作小組第十六次會議
25679,EVENT,三一八學運
25625,EVENT,立委選戰
15843,EVENT,波灣國際食品展
41270,EVENT,城市商旅高雄真愛館
15846,EVENT,波灣食品展
41243,EVENT,吉祥物PK戰
7625,EVENT,莫拉克八八風災
9258,EVENT,第十一屆會員代表大會
39074,EVENT,高雄鐵路地 下化之整體規劃與未來發展
15983,EVENT,南台灣強震
24888,EVENT,運動健身．快樂人生－環山健行趣
41036,EVENT,五輕
39201,EVENT,南橫馬拉松路跑活動
39255,EVENT,遷廠後周邊地區總體開發
40900,EVENT,莫拉克颱風災
26589,EVENT,百工百業領袖後援會
9066,EVENT,桃園燈會
40839,EVENT,八八水災
41166,EVENT,仁武後援會成立大會
4961,EVENT,那瑪夏賞螢
6607,EVENT,五二○
6563,EVENT,進擊的校園全國漆彈大作戰
10749,EVENT,二Ｏ一六六堆嘉年華活動
10720,EVENT,大武山下的小奧運
