,Class,NER
4175,EVENT,亞太國際教育協會暨教育展
24217,EVENT,趙評彩繪衣衫展
15407,EVENT,全國油畫比賽
13212,EVENT,COP11蒙特婁氣候變遷大會
6798,EVENT,大同福樂學堂
33539,EVENT,一次世界大戰
5228,EVENT,環境議題車體廣告徵選活動
19315,EVENT,○二○六震災
14351,EVENT,高屏地區二二八
8812,EVENT,西灣飆浪體驗活動
2092,EVENT,木蘭足球聯賽
10749,EVENT,二Ｏ一六六堆嘉年華活動
2089,EVENT,木蘭聯賽
33522,EVENT,美國獨立革命
24698,EVENT,春節送暖歲末關懷活動
6853,EVENT,全國最大漆彈賽事
13914,EVENT,槌球錦標賽
26718,EVENT,三一八太陽花學運
21272,EVENT,春節花卉展
21048,EVENT,星光歡迎會
15805,EVENT,疏伐木ＤＩＹ生活傢俱
21266,EVENT,美術北三路住宅大樓新建工程
20344,EVENT,道教嘉年華會
16417,EVENT,高雄燈會藝術節
16540,EVENT,燈會
577,EVENT,普度法會
33015,EVENT,首屆世界盃高爾夫球賽
7625,EVENT,莫拉克八八風災
27989,EVENT,世運會
24003,EVENT,六台灣國際遊艇展
15402,EVENT,美•山城馬拉松比賽
6858,EVENT,全國漆彈大賽開幕典禮
24071,EVENT,馬王政爭
3354,EVENT,美麗島事件
14576,EVENT,美的總動員－藝術家展覽會
31784,EVENT,ＰＡＲＴＹ
16685,EVENT,南台灣大地震
6607,EVENT,五二○
11850,EVENT,莫拉克
2139,EVENT,大專足球聯賽
31630,EVENT,宗教聯誼會
10720,EVENT,大武山下的小奧運
20190,EVENT,雅安大地震
6614,EVENT,台南震災
4389,EVENT,第一屆海事展
14348,EVENT,高雄市二二八和平紀念活動
10959,EVENT,國際同濟會二○一六亞太年會
6630,EVENT,二○一六禪淨共修祈福法會
1193,EVENT,二零一六新加坡國際食 品展
32712,EVENT,馬雅各來臺一百五十週年紀念特展活動
11732,EVENT,大河之舞
455,EVENT,九州熊本強震
17979,EVENT,全國黨員代表大會
13173,EVENT,華開幕式
20256,EVENT,海燕颱風
16569,EVENT,高雄燈會
13160,EVENT,祭祀典禮
9680,EVENT,國民小學運動會
29721,EVENT,總統選舉
20260,EVENT,九二一大地震
22864,EVENT,二二八紀念 音樂會
32977,EVENT,世界盃高爾夫球賽
