,Class,NER
35201,EVENT,第 530
14101,EVENT,第三百三十九
9909,EVENT,911
228,EVENT,馬習會
21490,EVENT,中共第十九次全國代表大會
13462,EVENT,520
21756,EVENT,慶富案
21801,EVENT,慶富弊案
13449,EVENT, 520
12502,EVENT,六四
29125,EVENT,台海演習
12083,EVENT, 326 爆料
29053,EVENT,台灣演習
22907,EVENT,永豐金弊案
12043,EVENT,鐽震案
8376,EVENT,康芮颱風
1497,EVENT,第十四案
28299,EVENT,凡那比颱風
23202,EVENT,二二八
11357,EVENT,臺南地震
11061,EVENT,319
24100,EVENT,台大校務會議
16083,EVENT,文革
9580,EVENT, 911
11020,EVENT,台南地震
25080,EVENT,中美貿易大戰
20330,EVENT,中國抗戰
30537,EVENT,中美戰爭
10553,EVENT,五二○
93,EVENT,亞洲盃
4712,EVENT,第二次世界大戰
15067,EVENT,亞運
30576,EVENT,普悠瑪事件
15045,EVENT,世大運
15029,EVENT,東亞青年運動會
4198,EVENT, BOT 案
15801,EVENT,遼寧團事件
4868,EVENT,台灣颱風
5050,EVENT,亞銀年會
5056,EVENT,奧運
2295,EVENT, 9 大公股銀行會議
963,EVENT,美國經濟復甦
15812,EVENT,SARS 
16489,EVENT,元大個資案
16468,EVENT, ATM 被盜案
32919,EVENT, Google 資安危機
15780,GPE,花蓮
15858,GPE,大陸遼寧
15784,GPE,大陸山東
11674,GPE,巴拿馬
11032,GPE,台南縣
11882,GPE,陸方
15884,GPE,日內瓦
10823,GPE,俄羅斯
10618,GPE,基亞
14779,GPE,屏東高樹鄉
15064,GPE,台中
11930,GPE,肯亞
14458,GPE,開曼群島
14270,GPE,印度
14788,GPE,觀音區
13790,GPE,苗栗
13753,GPE,南投
13707,GPE,新南
11897,GPE,大陸廣州
14790,GPE,桃園觀音區
14840,GPE,印尼
13276,GPE,宜蘭
14890,GPE,水吉
12474,GPE,福建平潭
12465,GPE,北港
12282,GPE,龍潭
13612,GPE,臺獨
13693,GPE,日方
9274,GPE,中華
9900,GPE,以色列
5529,GPE,桃園
5467,GPE,桃園市
5457,GPE,桃園縣政府
5310,GPE,馬來西亞
5284,GPE,泰國
5219,GPE,台澎金馬
5215,GPE,台東
5126,GPE,中華台北
5104,GPE,台澎
5085,GPE,中國台北
5065,GPE,澳洲
5600,GPE,匈牙利
4866,GPE,林口
4785,GPE,新竹市
4777,GPE,瑞芳
4775,GPE,台灣省
4293,GPE,福建金門
4014,GPE,大直
3726,GPE,矽谷
3671,GPE,臺北
3660,GPE,波士頓
2936,GPE,埃及
2750,GPE,南韓
2572,GPE,法國
4838,GPE,新北市
5651,GPE,俄國
5894,GPE,馬英九
5974,GPE,台滬
9824,GPE,敘利亞
9813,GPE,土耳其
9584,GPE,老美
9300,GPE,古巴
9205,GPE,中華人民共和國
8933,GPE,新北
8882,GPE,希臘
8662,GPE,菲律賓
8579,GPE,台南市
8401,GPE,台南
8393,GPE,加拿大
8382,GPE,美方
8140,GPE,高雄市
8118,GPE,苗栗縣
8111,GPE,雲林縣
8084,GPE,崑山
8038,GPE,平潭
7031,GPE,廣州
6997,GPE,高雄
6978,GPE,澳門
6662,GPE,荷蘭
6359,GPE,北歐丹麥
6347,GPE,瑞典
6150,GPE,深圳
5995,GPE,台港
10247,GPE,南京
15904,GPE,雲林
18126,GPE,嘉義
16293,GPE,台灣、南韓
30120,GPE,南蘇丹
30107,GPE,沙烏地阿拉伯
30095,GPE,烏干達
30093,GPE,衣索比亞
30092,GPE,葉門
30082,GPE,蘇丹
30065,GPE,巴林
30061,GPE,烏克蘭
30040,GPE,阿聯
30032,GPE,卡達
29795,GPE,櫪木
30138,GPE,托巴哥
29777,GPE,群馬
29203,GPE,薩爾瓦多
29120,GPE,觀塘
29077,GPE,布吉納法索
29039,GPE,深澳
28933,GPE,多明尼加
28910,GPE,帛琉
28712,GPE,瑞士
28683,GPE,墨西哥
28451,GPE,恆春
28410,GPE,屏東縣
27992,GPE,美國芝加哥
29532,GPE,嘉義縣
27983,GPE,伊利諾州
30144,GPE,黎巴嫩
30148,GPE,巴基斯坦
34942,GPE,德州
34739,GPE,港澳
34111,GPE,仁川
34030,GPE,臺南海
33998,GPE,湖北
32786,GPE,北京城
32784,GPE,敦克爾特
32666,GPE,臺中
32425,GPE,紐澳
32281,GPE,中正區
32228,GPE,永功里
30145,GPE,塞爾維亞
32178,GPE,福華
32036,GPE,阿布達比
32021,GPE,可倫坡
32000,GPE,阿根廷
31969,GPE,澳大利亞
31933,GPE,中美
31834,GPE,臺東
31712,GPE,丹麥
31652,GPE,臺南市
31613,GPE,臺中市
30753,GPE,尼加拉瓜
30629,GPE,高雄市長
32131,GPE,大同
16029,GPE,臺灣共和國
27730,GPE,剛果
27697,GPE,太子港
22045,GPE,東瀛
21551,GPE,紐約
21482,GPE,紐西蘭
21358,GPE,中華臺北
21282,GPE,中國香港
21184,GPE,民國
21142,GPE,義大利
20944,GPE,香港籍
20711,GPE,威斯康辛州
20511,GPE,漳州
20314,GPE,台獨
22211,GPE,宜蘭縣
19513,GPE,中華民
19143,GPE,中華民國台灣
18556,GPE,彰化
18253,GPE,北市
18248,GPE,文山
18214,GPE,新店
18212,GPE,基隆
