,Class,NER
16083,EVENT,文革
12043,EVENT,鐽震案
16468,EVENT, ATM 被盜案
4712,EVENT,第二次世界大戰
14101,EVENT,第三百三十九
12502,EVENT,六四
15067,EVENT,亞運
93,EVENT,亞洲盃
4868,EVENT,台灣颱風
5050,EVENT,亞銀年會
5056,EVENT,奧運
11020,EVENT,台南地震
15812,EVENT,SARS 
11061,EVENT,319
228,EVENT,馬習會
15801,EVENT,遼寧團事件
4198,EVENT, BOT 案
12083,EVENT, 326 爆料
13449,EVENT, 520
13462,EVENT,520
10553,EVENT,五二○
8376,EVENT,康芮颱風
15045,EVENT,世大運
2295,EVENT, 9 大公股銀行會議
11357,EVENT,臺南地震
9580,EVENT, 911
15029,EVENT,東亞青年運動會
16489,EVENT,元大個資案
1497,EVENT,第十四案
9909,EVENT,911
963,EVENT,美國經濟復甦
6347,GPE,瑞典
6359,GPE,北歐丹麥
6997,GPE,高雄
6978,GPE,澳門
1427,GPE,三重
18248,GPE,文山
15858,GPE,大陸遼寧
15884,GPE,日內瓦
15904,GPE,雲林
6662,GPE,荷蘭
15784,GPE,大陸山東
7031,GPE,廣州
8933,GPE,新北
8882,GPE,希臘
8662,GPE,菲律賓
928,GPE,台北市
8579,GPE,台南市
2320,GPE,橫濱
8393,GPE,加拿大
1370,GPE,亞洲
8382,GPE,美方
8118,GPE,苗栗縣
8111,GPE,雲林縣
8084,GPE,崑山
8038,GPE,平潭
15780,GPE,花蓮
6150,GPE,深圳
18253,GPE,北市
8140,GPE,高雄市
18214,GPE,新店
13753,GPE,南投
5995,GPE,台港
4838,GPE,新北市
4785,GPE,新竹市
4777,GPE,瑞芳
4775,GPE,台灣省
4293,GPE,福建金門
1924,GPE,臺北市
4014,GPE,大直
3726,GPE,矽谷
4866,GPE,林口
3671,GPE,臺北
16751,GPE,嘉義市
2936,GPE,埃及
2750,GPE,南韓
17101,GPE,臺股
2572,GPE,法國
2440,GPE,澎湖
2394,GPE,馬祖
2378,GPE,金門
3660,GPE,波士頓
1664,GPE,越南
16293,GPE,台灣、南韓
5065,GPE,澳洲
5974,GPE,台滬
18126,GPE,嘉義
16029,GPE,臺灣共和國
18096,GPE,臺南
5894,GPE,馬英九
9205,GPE,中華人民共和國
5651,GPE,俄國
5600,GPE,匈牙利
5529,GPE,桃園
5467,GPE,桃園市
5457,GPE,桃園縣政府
5310,GPE,馬來西亞
5284,GPE,泰國
5219,GPE,台澎金馬
17663,GPE,北韓
5215,GPE,台東
5126,GPE,中華台北
5104,GPE,台澎
5085,GPE,中國台北
18212,GPE,基隆
9274,GPE,中華
8401,GPE,台南
9300,GPE,古巴
233,GPE,北京
11930,GPE,肯亞
299,GPE,屏東
11897,GPE,大陸廣州
11882,GPE,陸方
14779,GPE,屏東高樹鄉
14788,GPE,觀音區
346,GPE,台北
14790,GPE,桃園觀音區
11674,GPE,巴拿馬
18556,GPE,彰化
353,GPE,北捷日
14840,GPE,印尼
14890,GPE,水吉
379,GPE,兩岸
382,GPE,香港
396,GPE,英國
14465,GPE,薩摩亞
431,GPE,日本
14458,GPE,開曼群島
12282,GPE,龍潭
13707,GPE,新南
13693,GPE,日方
9,GPE,中國大陸
11,GPE,上海
13,GPE,中國
14,GPE,台灣
13612,GPE,臺獨
13790,GPE,苗栗
26,GPE,美國
37,GPE,福建
41,GPE,大陸
13276,GPE,宜蘭
105,GPE,京東
14270,GPE,印度
12474,GPE,福建平潭
12465,GPE,北港
176,GPE,德華
205,GPE,臺灣
451,GPE,漢城
337,GPE,西藏
466,GPE,淮南
9584,GPE,老美
9813,GPE,土耳其
9824,GPE,敘利亞
9900,GPE,以色列
690,GPE,亞太
10247,GPE,南京
15064,GPE,台中
10618,GPE,基亞
10823,GPE,俄羅斯
595,GPE,吳壽山
569,GPE,倫敦
11032,GPE,台南縣
563,GPE,中華民國
550,GPE,新加坡
2322,GPE,福島
519,GPE,中方
542,GPE,盧森堡
517,GPE,德國
494,GPE,昆山
511,GPE,韓國
8306,LAW,臺灣金控條例
10343,LAW,中華民國憲法
12577,LAW,生技產業發展條例
14100,LAW,我國刑法
14086,LAW,"中華民國刑法第三百三十九條之四條文修正
草案"
17446,LAW,港澳關係條例
13156,LAW,刑法
16453,LAW,金融科技創新實驗條例草案
16479,LAW,金融科技創新實驗條例
1068,LAW,健保法
9979,LAW,財劃法
17055,LAW,電信法
2914,LAW,所得稅法
13645,LAW,聯合國海洋法公約
6555,LAW,合作金庫條例
886,LAW,公益勸募條例
15700,LAW,中國國民黨調查處理條例
13181,LAW,安保條約
4942,LAW,勞基法
17499,LAW,兩岸關係條例
11905,LAW,國安基金設置條例
16351,LAW,預算法
5426,LAW,勞動派遣保障法草案
7201,LAW,權利國際公約
6143,LAW,證交法
7630,LAW,銀行法
14722,LAW,國民年金法
16014,LAW,新國家憲法
7251,LAW,毒品條例
12198,LAW,文資法
10832,LAW,老佛爺條款
10824,LAW,霸王條款
1486,LAW,個資法
1145,LAW,憲法
15375,LAW,國防二法
15105,LAW,稅捐稽徵機關
7711,LAW,國安基金條例
11883,LAW,國安基金設置管理條例
9291,LOC,歐美
2882,LOC,淮南
2916,LOC,迦南地
4931,LOC,新竹地區
6509,LOC,台灣島
11166,LOC,花東地區
15905,LOC,大屯山
9331,LOC,台海
2328,LOC,臺中港
14783,LOC,萬巒地區
3043,LOC,台北
